FID,Gut_No_,Plot_No,Sector_No_,Node,Division,Village,Prabhag,Shape_Leng,Shape_Area,Lattitude,Longitude,Google Map Link 
41, ,2,28,Kamothe,Division3,Panvel_map,prabhag 14,80.2544129442,188.854197558,19.0079705827,73.0977751112,"https://www.google.com/maps/search/?api=1&query=19.0079705827,73.0977751112"
42, , 20A,17,New Panvel,Division3,Panvel_map,prabhag 14,115.882369971,836.561866003,19.0085495833,73.1053728985,"https://www.google.com/maps/search/?api=1&query=19.0085495833,73.1053728985"
43, ,3,52, Kamothe,Division3,Panvel_map,prabhag 14,71.2549826367,317.11851439,19.0032859649,73.09917388,"https://www.google.com/maps/search/?api=1&query=19.0032859649,73.09917388"
44, ,1,52,Kamothe,Division3,Panvel_map,prabhag 14,58.5210539754,163.694611084,19.0037747294,73.0992526046,"https://www.google.com/maps/search/?api=1&query=19.0037747294,73.0992526046"
45, ,11,8,New Panvel,Division3,Panvel_map,prabhag 15,176.1072,1575.45661826,19.0066791498,73.1114819374,"https://www.google.com/maps/search/?api=1&query=19.0066791498,73.1114819374"
46, ,44,5,New Panvel,Division4,Panvel_map,prabhag 16,118.097428831,728.897797637,19.0054430283,73.1163685589,"https://www.google.com/maps/search/?api=1&query=19.0054430283,73.1163685589"
47, ,N/A,15,New Panvel,Division4,Panvel_map,prabhag 18,64.7138596139,237.331752487,19.0001306339,73.1082875934,"https://www.google.com/maps/search/?api=1&query=19.0001306339,73.1082875934"
48, ,N/A,15,New Panvel,Division4,Panvel_map,prabhag 18,28.0874208805,35.0368418432,19.0016950152,73.1080795138,"https://www.google.com/maps/search/?api=1&query=19.0016950152,73.1080795138"
49, ,N/A,15,New Panvel,Division4,Panvel_map,prabhag 18,41.4934384062,61.5383761449,18.9990283049,73.1093224826,"https://www.google.com/maps/search/?api=1&query=18.9990283049,73.1093224826"
50, ,N/A,20,New Panvel,Division4,Panvel_map,prabhag 20,21.2707455005,28.2034168716,18.9851887436,73.1234851493,"https://www.google.com/maps/search/?api=1&query=18.9851887436,73.1234851493"
51, ,N/A, 16,New Panvel,Division4,Panvel_map,prabhag 20,55.334801236,190.727456332,18.9887036551,73.1297872677,"https://www.google.com/maps/search/?api=1&query=18.9887036551,73.1297872677"
52, ,N/A,21,New Panvel,Division4,Panvel_map,prabhag 20,88.5917314652,396.176900203,18.9829486553,73.1221901932,"https://www.google.com/maps/search/?api=1&query=18.9829486553,73.1221901932"
53, ,10,6,Kalamboli,Division2,Kalamboli,Prabhag8,108.902799997,738.964374845,19.0297880831,73.0984043463,"https://www.google.com/maps/search/?api=1&query=19.0297880831,73.0984043463"
54, , 9,5 A,New Panvel,Division2,Panvel_map,Prabhag 9,109.195249914,542.34161548,19.006363454,73.1177511055,"https://www.google.com/maps/search/?api=1&query=19.006363454,73.1177511055"
55, ,9,1 S,New Panvel,Division4,Panvel_map,prabhag 18,27.0669972233,44.2102664013,19.00168662,73.1158936614,"https://www.google.com/maps/search/?api=1&query=19.00168662,73.1158936614"
56,24v, , , ,Division1,Rohinjan,prabhag1,30.1856648846,34.7094037907,19.0932517561,73.0797598125,"https://www.google.com/maps/search/?api=1&query=19.0932517561,73.0797598125"
57, 26, , , ,Division1,Rohinjan,prabhag1,35.9061070153,65.8148311354,19.0916199427,73.0829541989,"https://www.google.com/maps/search/?api=1&query=19.0916199427,73.0829541989"
58,2, , , ,Division1,Rohinjan,prabhag1,51.8028480601,165.880017805,19.0894187001,73.0766886283,"https://www.google.com/maps/search/?api=1&query=19.0894187001,73.0766886283"
59,2, , , ,Division1,Rohinjan,prabhag1,98.9501179305,596.148196636,19.0891686357,73.0767089954,"https://www.google.com/maps/search/?api=1&query=19.0891686357,73.0767089954"
60,25, , ,,Division1,Rohinjan,prabhag1,112.131998237,719.262260185,19.0928207214,73.0828135985,"https://www.google.com/maps/search/?api=1&query=19.0928207214,73.0828135985"
61,16, , ,,Division1,Rohinjan,prabhag1,51.6094561856,166.470913153,19.0908152174,73.0779955899,"https://www.google.com/maps/search/?api=1&query=19.0908152174,73.0779955899"
62,29, , ,,Division1,Rohinjan,prabhag1,39.579256932,73.4302768594,19.0873660065,73.0845964302,"https://www.google.com/maps/search/?api=1&query=19.0873660065,73.0845964302"
63,1c, , ,,Division1,Adivali_PL,prabhag1,21.2750163897,26.0777465404,19.0995317957,73.0555142743,"https://www.google.com/maps/search/?api=1&query=19.0995317957,73.0555142743"
64,1c, , ,,Division1,Adivali_PL,prabhag1,22.2642745788,30.8512864105,19.0994654065,73.0555310775,"https://www.google.com/maps/search/?api=1&query=19.0994654065,73.0555310775"
65,1c, , ,,Division1,Adivali_PL,prabhag1,23.1585282171,33.1381154413,19.0993997446,73.0555557868,"https://www.google.com/maps/search/?api=1&query=19.0993997446,73.0555557868"
66,1c, , ,,Division1,Adivali_PL,prabhag1,19.494654921,22.9951055925,19.0993496167,73.0555798828,"https://www.google.com/maps/search/?api=1&query=19.0993496167,73.0555798828"
67,1c, , ,,Division1,Adivali_PL,prabhag1,20.7976159857,25.7866659589,19.0992999159,73.0556251578,"https://www.google.com/maps/search/?api=1&query=19.0992999159,73.0556251578"
68,12, , ,,Division1,Adivali_PL,prabhag1,20.8926621685,27.0102373767,19.0991747735,73.0556401147,"https://www.google.com/maps/search/?api=1&query=19.0991747735,73.0556401147"
69,12, , ,,Division1,Adivali_PL,prabhag1,23.6633999998,34.425669617,19.0989609262,73.0556522901,"https://www.google.com/maps/search/?api=1&query=19.0989609262,73.0556522901"
70,1v, , ,,Division1,Adivali_PL,prabhag1,104.467000959,711.755539047,19.1024314152,73.0599097082,"https://www.google.com/maps/search/?api=1&query=19.1024314152,73.0599097082"
71,26, , ,,Division1,Adivali_PL,prabhag1,22.0140094231,29.9901072079,19.1028330892,73.0608995956,"https://www.google.com/maps/search/?api=1&query=19.1028330892,73.0608995956"
72,26, , ,,Division1,Adivali_PL,prabhag1,91.9133124826,411.239793781,19.1040206847,73.061758304,"https://www.google.com/maps/search/?api=1&query=19.1040206847,73.061758304"
73,30, , ,,Division1,Adivali_PL,prabhag1,35.4596813492,77.2324810503,19.1059402468,73.0639195825,"https://www.google.com/maps/search/?api=1&query=19.1059402468,73.0639195825"
74,36, , ,,Division1,Adivali_PL,prabhag1,35.4429054663,69.9169405561,19.1061415584,73.0649006905,"https://www.google.com/maps/search/?api=1&query=19.1061415584,73.0649006905"
75,34, , ,,Division1,Adivali_PL,prabhag1,18.6525010811,20.3714111875,19.1078771797,73.0643502399,"https://www.google.com/maps/search/?api=1&query=19.1078771797,73.0643502399"
76,42, , ,,Division1,Adivali_PL,prabhag1,78.5861654289,260.100491916,19.1095846004,73.0664104228,"https://www.google.com/maps/search/?api=1&query=19.1095846004,73.0664104228"
77, 5, , ,,Division1,Adivali_PL,prabhag1,50.7598131474,158.429090937,19.1030685978,73.067701126,"https://www.google.com/maps/search/?api=1&query=19.1030685978,73.067701126"
78,5, , ,,Division1,Adivali_PL,prabhag1,37.9810957313,77.891658976,19.1030960289,73.0652746059,"https://www.google.com/maps/search/?api=1&query=19.1030960289,73.0652746059"
79,20, , ,,Division1,Adivali_PL,prabhag1,21.4111712873,27.4411612662,19.1006422215,73.0693838306,"https://www.google.com/maps/search/?api=1&query=19.1006422215,73.0693838306"
80,18, , ,,Division1,Adivali_PL,prabhag1,39.7095387143,80.7735530909,19.1006574769,73.0684246724,"https://www.google.com/maps/search/?api=1&query=19.1006574769,73.0684246724"
81,18, , ,,Division1,Adivali_PL,prabhag1,48.4584973955,77.0383736156,19.1007223778,73.0683776653,"https://www.google.com/maps/search/?api=1&query=19.1007223778,73.0683776653"
82,26, , ,,Division1,Adivali_PL,prabhag1,95.9408995861,368.475946235,19.1054305748,73.0613703173,"https://www.google.com/maps/search/?api=1&query=19.1054305748,73.0613703173"
83,26, , ,,Division1,Adivali_PL,prabhag1,87.1776428719,371.911143332,19.1049978236,73.0614130691,"https://www.google.com/maps/search/?api=1&query=19.1049978236,73.0614130691"
84,26, , ,,Division1,Adivali_PL,prabhag1,86.9476462366,418.424477138,19.1041984149,73.0617430585,"https://www.google.com/maps/search/?api=1&query=19.1041984149,73.0617430585"
85,26, , , ,Division1,Adivali_PL,prabhag1,50.9298764255,149.462661395,19.1030748652,73.0610065045,"https://www.google.com/maps/search/?api=1&query=19.1030748652,73.0610065045"
86,26, , , ,Division1,Adivali_PL,prabhag1,51.3330459357,148.927079979,19.1037345364,73.0613704364,"https://www.google.com/maps/search/?api=1&query=19.1037345364,73.0613704364"
87,1c, , , ,Division1,Adivali_PL,prabhag1,22.0454476257,26.6148699451,19.100933393,73.0576947126,"https://www.google.com/maps/search/?api=1&query=19.100933393,73.0576947126"
88,1c, , , ,Division1,Adivali_PL,prabhag1,28.1614626161,45.2435370976,19.0995291034,73.0555898265,"https://www.google.com/maps/search/?api=1&query=19.0995291034,73.0555898265"
